Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
34,Charmander,,4,♂,527,77,6,12,9,60.0,21.0,21.0,Scratch,Flamethrower,,"2023-03-09 20:13","2023-02-16 09:04",2/16/2023,7.01kg,0.56m,0,0,0,3000,83.37%,682,96.93%,200000,239,Charmeleon,,0,69.99%,1230,96.62%,118000,235,Charizard,Normal,0,,,,,,,,,
35,Oricorio,Pom-Pom,741,♂,926,100,3,11,13,60.0,15.0,15.0,Pound,Aerial Ace,,"2023-03-09 20:13","2023-02-17 00:11",2/16/2023,4.77kg,0.71m,0,0,0,1900,83.86%,662,96.66%,45400,42,Oricorio,Pom-Pom,0,84.35%,642,96.42%,496400,268,Oricorio,Pom-Pom,0,,,,,,,,,
36,Wailmer,,320,♂,549,146,11,1,6,40.0,15.0,15.0,Splash,Water Pulse,,"2023-03-09 20:13","2023-02-17 00:12",2/16/2023,177.47kg,2.42m,0,0,0,1900,15.21%,3473,92.37%,56400,451,Wailord,,0,18.83%,3325,84.92%,496400,668,Wailord,,0,,,,,,,,,
37,Spritzee,,682,♂,371,86,14,6,10,66.7,11.0,11.0,Charge Beam,,,"2023-03-09 20:13","2023-02-17 00:12",2/16/2023,0.49kg,0.2m,0,0,0,1300,5.86%,3856,92.23%,50000,102,Aromatisse,,0,61.71%,1569,95.17%,464000,334,Aromatisse,,0,9.55%,3705,89.27%,10000,14,Spritzee,,0,
38,Charmeleon,,5,♂,447,67,0,11,1,26.7,11.0,11.0,Fire Fang,Fire Punch,,"2023-03-09 20:13","2023-02-17 00:13",2/16/2023,13.18kg,0.94m,0,0,0,1300,88.52%,471,97.29%,346000,284,Charmeleon,,0,85.64%,589,97.36%,211000,318,Charizard,Normal,0,70.57%,1206,94.03%,2600,4,Charmeleon,,0,
39,Marill,,183,♀,128,82,11,7,15,73.3,11.0,11.0,Bubble,Aqua Tail,,"2023-03-09 20:13","2023-02-17 00:13",2/16/2023,4.19kg,0.25m,0,0,0,1300,44.74%,2264,94.16%,258000,309,Azumarill,,0,85.71%,586,92.21%,508000,309,Azumarill,,0,82.76%,707,89.46%,508000,284,Marill,,0,
40,Prinplup,,394,♂,558,80,1,13,5,42.2,13.0,13.0,Metal Claw,Bubble Beam,,"2023-03-09 20:13","2023-02-17 00:15",2/16/2023,15.08kg,0.66m,0,0,0,1600,88.01%,492,97.10%,242800,261,Prinplup,,0,94.26%,236,98.14%,180800,278,Empoleon,,0,,,,,,,,,
41,Zweilous,,634,♂,322,65,5,3,12,44.4,7.0,7.0,,,,"2023-03-09 20:12","2023-02-17 00:15",2/17/2023,42.99kg,1531m,0,0,0,800,85.01%,615,96.75%,20700,126,Hydreigon,,0,84.30%,644,97.16%,79200,178,Hydreigon,,0,81.29%,767,94.89%,6200,7,Zweilous,,0,
42,Torchic,,255,♂,447,73,11,12,14,82.2,15.0,15.0,,,,"2023-03-09 20:12","2023-02-19 16:09",2/17/2023,,,0,0,0,1900,59.61%,1655,95.33%,166400,185,Combusken,,0,67.33%,1339,96.47%,130400,243,Blaziken,Normal,0,65.79%,1402,93.57%,5700,6,Torchic,,0,
43,Scatterbug,,664,♂,192,67,10,12,14,80.0,15.0,15.0,,,,"2023-03-09 20:12","2023-02-19 16:09",2/17/2023,,,0,0,0,1900,85.76%,584,96.85%,91400,207,Vivillon,,0,94.80%,214,94.35%,496400,393,Vivillon,,0,98.51%,62,96.70%,452400,268,Scatterbug,,0,
44,Eevee,,133,♂,258,63,10,13,13,80.0,9.0,9.0,,,,"2023-03-09 20:12","2023-02-17 01:25",2/17/2023,,,0,0,2,1000,88.11%,488,96.78%,23200,53,Espeon,,0,86.35%,560,97.09%,140000,157,Jolteon,,0,49.01%,2089,92.48%,23200,28,Eevee,,0,
45,Eevee,,133,♂,373,78,3,10,11,53.3,14.0,14.0,,,,"2023-03-09 20:12","2023-02-19 16:09",2/17/2023,,,0,0,2,1600,,,,,,,,,95.97%,166,98.19%,99600,115,Glaceon,,0,,,,,,,,,U
46,Spheal,,363,♂,333,87,9,4,3,35.6,14.0,14.0,,,,"2023-03-09 20:12","2023-02-19 16:09",2/17/2023,21.91kg,96m,0,0,0,1600,22.88%,3159,93.44%,211600,243,Sealeo,,0,11.84%,3611,94.01%,239600,382,Walrein,,0,44.25%,2284,91.99%,29600,28,Spheal,,0,
47,Beldum,,374,,194,49,3,15,12,66.7,8.0,8.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/18/2023,,,0,1,0,961,97.17%,117,98.46%,18729,158,Metagross,,1,90.38%,395,97.62%,75134,221,Metagross,,1,92.21%,320,96.18%,6722,37,Metang,,1,
48,Beldum,,374,,728,92,12,7,11,66.7,28.0,28.0,,,,"2023-03-09 20:12","2023-02-19 16:24",2/18/2023,,,0,0,0,4500,27.81%,2957,93.80%,67000,89,Metang,,0,83.59%,673,91.95%,419000,223,Metang,,0,,,,,,,,,
49,Scatterbug,,664,♂,205,67,14,13,15,93.3,15.0,15.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/18/2023,,,0,0,0,1900,55.56%,1821,95.10%,81900,199,Vivillon,,0,99.51%,21,97.79%,496400,393,Vivillon,,0,96.83%,131,95.99%,371400,293,Spewpa,,0,
50,Misdreavus,,200,♂,1091,101,3,1,3,15.6,23.0,23.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/18/2023,,,0,0,0,3500,51.45%,1989,95.07%,92000,82,Misdreavus,,0,52.45%,1948,95.85%,359000,332,Mismagius,,0,,,,,,,,,
51,Deerling,,585,♀,205,58,13,4,12,64.4,7.0,7.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/18/2023,,,0,0,0,800,6.20%,3842,92.03%,54200,107,Sawsbuck,,0,34.46%,2685,94.62%,416200,342,Sawsbuck,,0,36.41%,2605,90.10%,800,51,Sawsbuck,,0,
52,Azumarill,,184,♀,843,139,9,11,9,64.4,20.0,20.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/19/2023,,,0,0,3,2500,52.58%,1943,94.64%,245000,248,Azumarill,,0,77.34%,929,90.68%,475000,248,Azumarill,,0,,,,,,,,,
53,Murkrow,,198,♀,301,58,3,6,1,22.2,8.0,8.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/19/2023,,,0,1,0,961,54.14%,1879,95.00%,313500,213,Murkrow,,2,60.12%,1634,96.16%,195600,303,Honchkrow,,2,79.51%,840,94.97%,12966,24,Murkrow,,1,
54,Bulbasaur,,1,♂,711,91,7,15,12,75.6,24.0,24.0,,,,"2023-03-09 20:12","2023-02-19 16:10",2/19/2023,,,0,0,0,3500,89.01%,451,97.50%,121000,143,Ivysaur,,0,83.81%,664,97.53%,145000,273,Venusaur,Normal,0,,,,,,,,,
55,Charmander,,4,♀,313,60,7,15,13,77.8,12.0,12.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,1300,91.01%,369,97.52%,199400,227,Charmeleon,,0,97.19%,116,98.40%,139400,255,Charizard,Normal,0,91.70%,341,95.76%,25400,28,Charmander,,0,
56,Squirtle,,7,♂,699,98,11,6,13,66.7,28.0,28.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,4500,59.56%,1657,93.94%,294000,223,Wartortle,,0,41.66%,2390,95.10%,269000,323,Blastoise,Normal,0,,,,,,,,,
57,Zorua,Normal,570,♂,707,84,3,9,9,46.7,24.0,24.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,3500,52.06%,1964,83.02%,451000,226,Zorua,Normal,0,87.37%,518,97.38%,301000,276,Zoroark,Normal,0,,,,,,,,,
58,Scatterbug,,664,♂,200,67,14,10,14,84.4,15.0,15.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,1900,38.61%,2515,94.27%,86400,203,Vivillon,,0,95.68%,178,94.71%,496400,393,Vivillon,,0,96.12%,160,95.70%,410400,293,Spewpa,,0,
59,Baltoy,,343,,251,64,5,7,13,55.6,13.0,13.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,1600,78.34%,888,96.47%,92800,136,Claydol,,0,63.76%,1485,89.84%,502800,326,Claydol,,0,61.07%,1595,92.71%,62800,59,Baltoy,,0,
60,Azumarill,,184,♀,319,85,10,0,3,28.9,8.0,8.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,800,17.95%,3361,92.44%,363600,290,Azumarill,,0,20.24%,3267,83.08%,513600,290,Azumarill,,0,8.82%,3735,88.44%,8200,10,Azumarill,,0,
61,Squirtle,,7,♂,386,69,15,9,8,71.1,15.0,15.0,,,,"2023-03-09 20:12","2023-02-19 16:11",2/19/2023,,,0,0,0,1900,33.82%,2711,92.53%,322400,293,Wartortle,,0,24.59%,3089,94.37%,322400,393,Blastoise,Normal,0,3.66%,3946,87.82%,16400,16,Squirtle,,0,
62,Charmander,,4,♂,578,80,13,9,10,71.1,22.0,22.0,,,,"2023-03-09 20:12","2023-02-19 17:10",2/19/2023,,,0,0,0,3000,38.95%,2501,94.52%,150000,175,Charmeleon,,0,27.01%,2990,95.02%,92000,207,Charizard,Normal,0,,,,,,,,,
63,Rufflet,,627,♂,629,94,15,14,11,88.9,15.0,15.0,,,,"2023-03-09 20:12","2023-03-09 20:12",2/19/2023,,,0,0,0,1900,55.48%,1824,94.16%,277400,268,Rufflet,,0,47.96%,2132,95.75%,81900,124,Braviary,Normal,0,,,,,,,,,
64,Swinub,,220,♀,419,92,10,14,14,84.4,21.0,21.0,,,,"2023-03-09 20:12","2023-03-09 20:12",2/20/2023,,,0,0,0,3000,88.35%,478,97.15%,12000,37,Piloswine,,0,95.21%,197,98.01%,398000,269,Piloswine,,0,76.34%,970,94.16%,26000,24,Swinub,,0,
65,Tauros,,128,♂,1191,105,5,13,10,62.2,17.0,17.0,,,,"2023-03-09 20:12","2023-02-20 13:00",2/20/2023,,,0,0,3,2200,52.92%,1929,95.03%,18800,16,Tauros,,0,92.36%,314,98.27%,269800,260,Tauros,,0,,,,,,,,,
66,Piloswine,,221,♀,1522,156,10,7,14,68.9,24.0,24.0,,,,"2023-03-09 20:12","2023-03-09 20:12",2/20/2023,,,0,0,0,3500,,,,,,,,,88.72%,463,97.23%,436000,226,Piloswine,,0,,,,,,,,,
67,Vullaby,,629,♀,699,111,12,11,15,84.4,20.0,20.0,,,,"2023-03-09 20:12","2023-03-09 20:12",2/21/2023,,,0,0,0,2500,32.97%,2746,93.53%,31000,78,Mandibuzz,,0,96.26%,154,96.14%,475000,298,Mandibuzz,,0,,,,,,,,,
68,Jigglypuff,,39,♀,159,105,7,9,14,66.7,9.0,9.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/21/2023,,,0,0,0,1000,84.27%,645,96.87%,107000,152,Wigglytuff,,0,70.57%,1206,89.53%,512000,338,Wigglytuff,,0,75.63%,999,93.45%,93000,90,Jigglypuff,,0,
69,Marill,,183,♀,218,115,0,15,4,42.2,24.0,24.0,,,,"2023-03-09 20:11","2023-03-05 23:24",2/21/2023,,,0,0,0,3500,98.97%,43,98.80%,379000,251,Azumarill,,0,28.11%,2945,84.24%,451000,251,Azumarill,,0,16.02%,3440,69.73%,451000,226,Marill,,0,
70,Shuppet,,353,♀,532,78,11,6,1,40.0,21.0,21.0,,,,"2023-03-09 20:11","2023-03-09 02:47",2/22/2023,1.19kg,0147m,0,0,0,3000,27.42%,2973,93.29%,26000,74,Banette,Normal,0,23.20%,3146,87.95%,470000,294,Banette,Normal,0,,,,,,,,,
71,Absol,Normal,359,♂,1503,104,14,10,4,62.2,22.0,22.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/22/2023,,,0,0,0,3000,,,,,,,,,23.59%,3130,94.78%,290000,238,Absol,Normal,0,,,,,,,,,
72,Combusken,,256,♂,1142,111,9,3,6,40.0,27.0,27.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,,,0,0,0,4500,32.82%,2752,94.02%,198000,206,Combusken,,0,31.01%,2826,95.15%,122000,228,Blaziken,Normal,0,,,,,,,,,
73,Fomantis,,753,♂,421,80,15,14,15,97.8,20.0,20.0,Razor Leaf,Energy Ball,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,1.78kg,0.33m,0,0,0,2500,16.07%,3438,93.23%,8000,57,Lurantis,,0,82.56%,715,96.49%,301000,298,Lurantis,,0,48.06%,2128,91.53%,20500,19,Fomantis,,0,
74,Pikachu,Normal,25,♂,752,90,12,6,11,64.4,31.0,31.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,,,0,0,0,2500,76.68%,956,87.16%,390000,174,Pikachu,Normal,0,76.29%,972,91.24%,390000,224,Raichu,Normal,0,,,,,,,,,
75,Mudkip,,258,♂,346,66,5,13,7,55.6,12.0,12.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,,,0,0,0,1300,81.25%,769,96.70%,160400,179,Marshtomp,,0,86.03%,573,97.67%,139400,255,Swampert,Normal,0,71.53%,1167,94.10%,16600,20,Mudkip,,0,
76,Charmander,,4,♂,208,46,13,14,5,71.1,8.0,8.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,,,0,0,0,800,45.25%,2243,94.86%,199600,227,Charmeleon,,0,25.45%,3054,94.95%,141600,259,Charizard,Normal,0,69.89%,1234,93.97%,5600,31,Charmeleon,,0,
77,Scatterbug,,664,♀,204,66,13,15,13,91.1,15.0,15.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/23/2023,,,0,0,0,1900,51.84%,1973,94.91%,81900,199,Vivillon,,0,99.54%,20,97.80%,496400,393,Vivillon,,0,99.12%,37,97.48%,397400,293,Spewpa,,0,
78,Mudkip,,258,♂,566,84,6,9,5,44.4,20.0,20.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/24/2023,,,0,0,0,2500,42.34%,2362,94.66%,137000,155,Marshtomp,,0,67.72%,1323,96.81%,116000,231,Swampert,Normal,0,,,,,,,,,
79,Eevee,,133,♂,299,67,8,8,6,48.9,11.0,11.0,,,,"2023-03-09 20:11","2023-03-05 13:13",2/24/2023,,,0,0,2,1300,78.24%,892,96.28%,23600,53,Vaporeon,,0,61.39%,1582,96.16%,108000,127,Vaporeon,,0,33.58%,2721,91.35%,23600,28,Eevee,,0,
80,Torchic,,255,♀,725,97,1,2,10,28.9,28.0,28.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/24/2023,,,0,0,0,4500,71.04%,1187,95.88%,257000,223,Combusken,,0,70.26%,1219,96.60%,140000,281,Blaziken,Normal,0,,,,,,,,,
81,Torchic,,255,♀,128,38,9,3,6,40.0,5.0,5.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/24/2023,,,0,0,0,600,54.24%,1875,95.37%,42600,173,Blaziken,Normal,0,31.01%,2826,95.15%,211600,343,Blaziken,Normal,0,11.40%,3629,89.02%,10900,39,Combusken,,0,
82,Bulbasaur,,1,♂,308,63,6,1,15,48.9,11.0,11.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/24/2023,,,0,0,0,1300,51.53%,1986,95.28%,220000,255,Ivysaur,,0,67.57%,1329,96.77%,248000,394,Venusaur,Normal,0,34.16%,2697,91.48%,21400,26,Bulbasaur,,0,
83,Treecko,,252,♂,254,54,1,6,10,37.8,10.0,10.0,,,,"2023-03-09 20:11","2023-03-09 13:03",2/24/2023,,,0,0,1,1000,96.68%,137,97.73%,40000,167,Sceptile,Normal,0,86.96%,535,97.66%,260000,411,Sceptile,Normal,0,86.23%,565,95.44%,32500,36,Treecko,,0,
84,Torchic,,255,♂,516,80,7,10,14,68.9,18.0,18.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/24/2023,,,0,0,0,2200,82.64%,712,96.64%,196400,227,Combusken,,0,82.78%,706,97.18%,139400,255,Blaziken,Normal,0,,,,,,,,,
